Country,InstName,Article Citation Count
Australia,The University of Newcastle,147
Australia,The University of Queensland,47
Australia,The University of Sydney,455
Australia,The University of Technology Sydney,12
Australia,The University of Western Australia,163
Australia,"Toshiba, Australia",9
Australia,"UNSW Canberra, Canberra, ACT, Australia",1
Australia,"UOW, Australia",9
Australia,University of Adelaide,590
Australia,University of Canberra,6
Australia,University of Melbourne,1333
Australia,University of New South Wales,1501
Australia,University of New South Wales Australia,12
Australia,University of New South Wales at Sydney,22
Australia,University of Newcastle,458
Australia,University of Newcastle Australia,2
Australia,University of Queensland,258
Australia,University of South Australia,6
Australia,University of Southern Queensland,1
Australia,University of Sydney,2196
Australia,University of Tasmania,64
Australia,University of Technology,25
Australia,University of Technology Sydney,1313
Australia,University of Western Australia,444
Australia,University of Wollongong,1060
Australia,University ofWestern Australia,0
Australia,Victoria University,8
Australia,"Virtual Photonics, Inc., Carlton, Australia",43
Australia,"Warwick, Australia",7
Australia,Western Sydney University,24
Austria,ACCM GmbH Johannes Kepler University,55
Austria,AIT Austrian Institute of Technology,27
Austria,AIT GmbH,10
Austria,AMSC Austria GmbH,3
Austria,ARC Seibersdorf Research GmbH,73
Austria,AVL List GmbH,9
Austria,Adriatic University Klagenfurt,19
Austria,Adriatic University of Klagenfurt,1
Austria,Advanced Materials and Device Analysis Group Institut fur Mikroelektronik,39
Austria,"Ams AG, Premstatten, Austria",21
Austria,"Ams AG, Unterpremstatten, Austria",6
Austria,"Ams OSRAM, Premstaetten, Austria",1
Austria,"Atominstitut, TU Wien, Vienna, Austria",12
Austria,"Austria Microsystems AG, Austria",93
Austria,"Austria Microsystems AG, Schloss Premstatten, Austria",13
Austria,"Austria Microsystems AG, Unterpremstaetten, Austria",8
Austria,"Austria Microsystems AG, Unterpremstatten, Austria",55
Austria,"Austria Technologie and Systmetechnik AG , Leoben, Austria",0
Austria,"Austriamicrosystems AG, Unterpremstaetten, Austria",24
Austria,"Austriamicrosystems AG, Unterpremstatten, Austria",20
Austria,"Austriamicrosystems, Unterpremstaetten, Austria",49
Austria,Austrian Institute of Technology,191
Austria,Austrian Institute of Technology GmbH,60
Austria,Austrian Research Center,31
Austria,Austrian Research Centers,35
Austria,Automation and Control Institute,7
Austria,CISC Semiconductor Design+Consulting GmbH,6
Austria,CISC Semiconductor GmbH,14
Austria,Carinthian Tech Research,16
Austria,Carinthian Tech Research AG,14
Austria,Center GmbH,18
Austria,Christian Doppler Laboratory for Single,10
Austria,DICE Danube Integrated Circuit Engineering GmbH & Co KG,3
Austria,DICE GmbH & Co KG,14
Austria,"DMCE, Linz, Austria",20
Austria,Danube Integrated Circuit Engineering GmbH and Company KG,11
Austria,Danube Mobile Communications Engineering GmbH,16
Austria,Danube Mobile Communications Engineering GmbH & Co. KG,16
Austria,"Department Powertrain, Gasoline/Electrical and Electronic System Integration, Bosch Engineering Austria, Robert Bosch AG, Vienna, Austria",2
Austria,"Department of Electrical Engineering, Information Technology, TU Wien, Vienna, Austria",1
Austria,"Department of Polymer Engineering and Science, Montanuniveritat Leoben, Leoben, Austria",2
Austria,Department of Process Research and Development,0
Austria,"Department of Process and Device Characterization, Austria Microsystems AG, Unterpremstaetten, Austria",2
Austria,"Department of Process and Device Characterization, Austriamicrosystems AG, Unterpremstatten, Austria",2
Austria,Department of RF Systems,5
Austria,Department of Research and Development,2
Austria,Development Center Graz,3
Austria,Development Center Villach,48
Austria,Distributed Systems Group,12
Austria,"Division of Power Electronics, Silicon Austria Labs, Villach, Austria",6
Austria,EGSTON Power Electronics GmbH,6
Austria,EV Group E. Thallner GmbH,100
Austria,EV Group E.Thallner GmbH,1
Austria,Elektronik GmbH,37
Austria,Erich Schmid Institute of Material Science,44
Austria,"Fachhochschule fur Technik und Wirtschaft, Wien, Austria",38
Austria,"Federal Ministry of Defense, Vienna, Austria",25
Austria,"Fest AG, Vienna, Austria",39
Austria,Global TCAD Solutions GmbH,3
Austria,"Global TCAD Solutions, Vienna, Austria",41
Austria,Graz University of Technology,633
Austria,Graz University of Technology and the Centre for Electron Microscopy Graz,10
Austria,IMS Nanofabricatton GmbH,30
Austria,Infineon Technologies,189
Austria,Infineon Technologies AG,166
Austria,Infineon Technologies Austria,21
Austria,Infineon Technologies Austria AG,2228
Austria,Infineon Technologies Austria AG Development Center of Graz,191
Austria,Infineon Technologies Design Center,80
Austria,Innsbruck Power Electronics Laboratory,0
Austria,"Inst. of Sensor & Actuator Syst., Vienna Univ. of Technol., Austria",75
Austria,Institut fur Halbleiter,0
Austria,Institut fur Mikroelektronik,171
Austria,Institute for Microelectronics,385
Austria,Institute for Photonics,41
Austria,Institute for Sensor and Actuator Systems,39
Austria,Institute for Surface Technologies and Photonics,7
Austria,Institute of Computer Technology,45
Austria,Institute of Electrodynamics,2
Austria,Institute of High Energy Physics,11
Austria,Institute of Mechanics and Mechatronics,10
Austria,Institute of Microelectronics,88
Austria,Institute of Sensor and Actuator Systems,10
Austria,Institute of Solid State Electronics,24
Austria,Institute of Telecommunications,7
Austria,Instituteitut fur Mikroelektronik,31
Austria,Integrated Microsystems Austria GmbH,25
Austria,Intel Austria GmbH,36
Austria,Intel Corp.,18
Austria,Intel Labs,7
Austria,Intel Mobile Communications GmbH,29
Austria,International Atomic Energy Agency,27
Austria,Johann Radon Institute for Computational and Applied Mathematics,4
Austria,Johannes Kepler University,116
Austria,Johannes Kepler University  Linz,2
Austria,Johannes Kepler University Linz,257
Austria,Johannes Kepler University of Linz,6
Austria,KAI Competence Center of Automobile and Industrial Electronics,3
Austria,KAI GmbH,56
Austria,"KAI competence center of automobile and industrial electronics, Villach, Austria",8
Austria,"KAI, Villach, Austria",8
Austria,Keysight Technologies Austria GmbH,8
Austria,Klagenfurt University,4
Austria,"Kompetenzzentrum fur Automobil, und Industrieelektronik, Villach, Austria",54
Austria,LCM GmbH,31
Austria,Lam Research AG,1
Austria,Linz Center of Mechatronics GmbH,66
Austria,Materials Center Leoben Forschung GmbH,1
Austria,Measurement and Research Laboratory,2
Austria,Medical University of Vienna,19
Austria,NXP,85
Austria,NXP Semiconductors,126
Austria,NXP Semiconductors Austria,18
Austria,NXP Semiconductors Austria GmbH,122
Austria,NXP Semiconductors Austria GmbH & Co KG,1
Austria,NXP Semiconductors Austria GmbH Styria,12
Austria,NanoTecCenter Weiz Forschungsgesellschaft mbH,4
Austria,Otto Bock Healthcare Products GmbH,61
Austria,Paul Scherrer Institute,22
Austria,Photonics Institute,4
Austria,"Plansee SE, Reutte, Austria",10
Austria,Polymer Competence Center Leoben GmbH,2
Austria,"Process Development and Implementation, Austria Microsystems AG, Austria",19
Austria,"Process Development, Austriamicrosystems, Unterpremstaetten, Austria",2
Austria,R&D Corporate R&D Semiconductors,4
Austria,Reference Design Center,16
Austria,Research Center for Non Destructive Testing GmbH,7
Austria,Schneider Electric Power Drives GmbH,6
Austria,"Sensor Dynamics AG, Graz, Austria",16
Austria,"Siemens IT Solutions and Services, PSE, Vienna, Austria",209
Austria,Silicon Austria Labs GmbH,32
Austria,"Silicon Austria Labs, Graz, Austria",12
Austria,"Silicon Austria Labs, Villach, Austria",19
Austria,St. Anna Children's Cancer Research Institute,1
Austria,Technical University Vienna,1
Austria,Technical University of Vienna,9
Austria,Technical University of of Vienna,874
Austria,Technische Universitat Graz,6
Austria,Technische Universitat Vienna,0
Austria,Technische Universitat Wien,71
Austria,The University of Innsbruck,22
Austria,Tibor Grasser are with the Institute for Microelectronics,7
Austria,Universidad of Santiage of Compostela,7
Austria,Universitat Klagenfurt,3
Austria,Universitatsstrasse,22
Austria,University,4
Austria,University of Applied Sciences,191
Austria,University of Applied Sciences Upper Austria,8
Austria,University of Innsbruck,16
Austria,University of Klagenfurt,26
Austria,University of Linz,4
Austria,University of Natural Resources and Applied Life Sciences,23
Austria,University of Salzburg,14
Austria,University of Technology,876
Austria,University of Vienna,71
Austria,VIULASE GmbH,1
Austria,Vienna University of Technology,602
Austria,"ams AG, Premstaetten, Austria",1
Austria,"ams AG, Premstatten, Austria",10
Austria,"ams AG, Unterpremstatten, Austria",10
Austria,"ams OSRAM, Premstaetten, Austria",2
Austria,"ams, OSRAM AG, Premstatten, Austria",1
Austria,"austriamicrosystems AG, Unterpremstatten, Austria",4
Austria,trieelektronik GmbH,10
Austria,und Industrieelektronik  GmbH,1
Austria,und Industrieelektronik GmbH,20
Bangladesh,Ahsanullah University of Science and Technology,9
Bangladesh,Bangladesh University of Engineering and Technology,150
Bangladesh,Bangladesh University of Technology,50
Bangladesh,Chittagong University of Engineering and Technology,18
Bangladesh,Daffodil International University,10
Bangladesh,East West University,134
Bangladesh,Hajee Mohammad Danesh Science and Technology University,5
Bangladesh,International Islamic University Chittagong,2
Bangladesh,Jashore University of Science and Technology,13
Bangladesh,Khulna University,6
Bangladesh,Khulna University of Engineering & Technology,13
Bangladesh,Khulna University of Engineering and Technology,0
Bangladesh,Leading University,2
Bangladesh,Military Institute of Science and Technology,10
Bangladesh,National University,10
Bangladesh,North South University,72
Bangladesh,Rajshahi University of Engineering,10
Bangladesh,Rajshahi University of Engineering & Technology,5
Bangladesh,Rajshahi University of Engineering and Technology,38
Bangladesh,United International University,19
Bangladesh,University of Chittagong,56
Bangladesh,University of Dhaka,28
Bangladesh,University of Rajshahi,1
Bangladesh,World University of Bangladesh,10
Belarus,B. I. Stepanov Institute of Physics,5
Belarus,Belarus State University,50
Belarus,Belarusian National Technical University,31
Belarus,Belarusian State University,24
Belarus,Belarusian State University of Informatics and Radioelectronics,38
Belarus,Belarusian State University of Informatics and Radioelectronicssyuk,0
Belarus,Institute of Electronics,45
Belarus,Institute of Physics,35
Belarus,Institute of Semiconductor and Solid State Physics,1
Belarus,International Laser Center,20
Belarus,Laboratory of Semiconductor Optoelectronics,16
Belarus,Laboratory of Semiconductor Optoelectronics B.I. Stepanov Institute of Physics,7
Belarus,"National Academy of Science of Belarus, Belarus",45
Belarus,Research Institute for Nuclear Problems,4
Belarus,Stepanov Physics Institute,4
Belgium,ADVISE Research Laboratory,2
Belgium,AMI Semiconductor,114
Belgium,AMI Semiconductor Belgium,60
Belgium,AMI Semiconductor Belgium BVBA,86
Belgium,AMI Semiconductor Belgium BVBa,53
Belgium,AMI Semiconductors,280
Belgium,Advanced Semiconductor Materials,10
Belgium,Agilent Technologies Belgium,23
Belgium,"Alcatel Bell, Antwerp, Belgium",47
Belgium,Alcatel Corporate Research Center,43
Belgium,"Alcatel ETCA S.A., Charleroi, Belgium",3
Belgium,"Ansem NV, Heverlee, Belgium",25
Belgium,"Antwerp Space, Antwerpen, Belgium",8
Belgium,Applied Physics Research Group,203
Belgium,"Arbeitsamt der Deutschsprachigen Gemeinschaft, Eupen, Belgium",10
Belgium,"Arnold and Siedsma, Antwerp 2018, Belgium",52
Belgium,"BelGaN Company, Oudenaarde, Belgium",6
Belgium,Belgian Nuclear Research Center,29
Belgium,Belgian Nuclear Research Centre,29
Belgium,"CMOSIS NV, Antwerp, Belgium",43
Belgium,"CMOSIS, Antwerp, Belgium",12
Belgium,Center,18
Belgium,Center for Microsystems Technology,14
Belgium,Center for Nano,31
Belgium,Center for Nano and Biophotonics,25
Belgium,"ELEC, VUB, Brussels, Belgium",24
Belgium,"ELEC, VUB, Brussels, Belgium, Belgium",11
Belgium,EPOWERS Research Group,3
Belgium,ESAT Katholieke Universiteit Leuven,39
Belgium,"Electrical Technology Unit Vito, Genk, Belgium",25
Belgium,Electrochemical and Surface Engineering Research Group,3
Belgium,"Electromagnetism and Telecommunication Department, Mons, Belgium",0
Belgium,"FWO Vlaanderen, Brussels, Belgium",23
Belgium,"Fab Process Engineering Metrology Department, imec, Leuven, Belgium",7
Belgium,Faculte Polytechnique of Mons,2
Belgium,"Facultes Universitaires Notre, Dame of la Paix, Namur, Belgium",9
Belgium,"Flanders Innovation and Entrepreneurship , Brussels, Belgium",10
Belgium,Free University of Brussels,18
Belgium,Fund for Scientific Research of Flanders,167
Belgium,"Harvest Imaging, Bree, Belgium",220
Belgium,ICTEAM Institute of Universite catholique of Louvain,16
Belgium,IMEC,27192
Belgium,"Infineon Belgium, Leuven, Belgium",13
Belgium,Infineon Technologies,15
Belgium,Institute for Nanoscale Physics and Chemistry,18
Belgium,"Jan Verspecht b.v.b.a., Steenhuffel, Belgium",189
Belgium,"Kuurne, Belgium",12
Belgium,"Laser Optics and Laser Processing Department, Siemens, Inc., Brussels, Belgium",2
Belgium,"Leuven, Belgium",0
Belgium,"Luceda Photonics, Dendermonde, Belgium",73
Belgium,Microwave Laboratories,19
Belgium,Microwave Laboratory,25
Belgium,"Multitel a.s.b.l., Mons, Belgium",29
Belgium,"NEWTEC, Sint Niklaas, Belgium",3
Belgium,NXP Research,25
Belgium,NXP Research Leuven,81
Belgium,NXP Semiconductors,880
Belgium,NXP Semiconductors Belgium NV,8
Belgium,NXP Semiconductors Research,142
Belgium,NXP/Taiwan Semiconductor Manufacturing Company Research Center,22
Belgium,"Nokia Bell Labs, Antwerp, Belgium",7
Belgium,ON Semiconductor,791
Belgium,ON Semiconductor Belgium,59
Belgium,ON Semiconductor Company,77
Belgium,ON Semiconductor Image Sensor BVBA,9
Belgium,ON Semiconductor Power Technology Centre,42
Belgium,ON Semiconductors,35
Belgium,"Onsemi, Oudenaarde, Belgium",8
Belgium,PHOT TONA) Vrije Universiteit Brussel,31
Belgium,"PMST, imec, Leuven, Belgium",6
Belgium,Philips Research,98
Belgium,Philips Research National Laboratory,45
Belgium,Philips Semiconductor,90
Belgium,Photonics Research Group,1
Belgium,Photonics Research Group - Center for nano,104
Belgium,"Photovoltech NV, Tienen, Belgium",4
Belgium,Polytechnique of Mons,31
Belgium,Power Technology Center,100
Belgium,"QinetiQ Space, Kruibeke, Belgium",40
Belgium,"QinetiQ, Kruibeke, Belgium",22
Belgium,"RMA, Brussels, Belgium",20
Belgium,Research Foundation Flanders,2
Belgium,Research Foundation--Flanders,3
Belgium,"SCK*CEN, Mol Belgium",22
Belgium,"SCK, CEN, Mol, Belgium",10
Belgium,SCK/CEN Nuclear Research Centre,29
Belgium,"SCKCEN, Belgium",9
Belgium,Science and Technology Research Unit,0
Belgium,Semiconductor BU of Cyient,0
Belgium,Semiconductor Physics Laboratory,2
Belgium,Semiconductor Technology and Systems,28
Belgium,Semiconductor Technology and Systems  Unit,1
Belgium,Semiconductor Technology and Systems Department,1
Belgium,Semiconductor Technology and Systems Unit,2
Belgium,"Sensors Belgium, Antwerpen, Belgium",8
Belgium,Signal and Image Center,18
Belgium,Silicon Process and Device Technologies Division,28
Belgium,"SoftKinetic, Brussels, Belgium",56
Belgium,Solar Terrestrial Center of Excellence,12
Belgium,"Sony Depthsensing Solutions SA, Brussels, Belgium",56
Belgium,Sony assignee to the Interuniversity Microelectronics Center,11
Belgium,"Starlab, Brussels, Belgium",4
Belgium,"Sydelity BV, Kruisem, Belgium",0
Belgium,"TCAD Group, imec, Leuven, Belgium",11
Belgium,TELEMIC Research Division,8
Belgium,"Umicore, Brussel, Belgium",10
Belgium,Universite of Mons,1
Belgium,Universite of Mons Faculte Polytechnique,0
Belgium,Universiteit Antwerpen,360
Belgium,University College London,49
Belgium,University of Antwerp,186
Belgium,University of Hasselt--Partner in Solliance,34
Belgium,University of Leuven,331
Belgium,University of Liege,7
Belgium,University of Mons,34
Belgium,Vrije Universiteit Brussel,1117
Belgium,Vrije Universiteit Brussels,40
Belgium,"Xenics, Leuven, Belgium",20
Belgium,"e, peas semiconductors, Mont, Saint, Guibert, Belgium",23
Belgium,electronic Center,91
Brazil,"Abbas Industria e Comercio, Sao Paulo, Brazil",3
Brazil,Aeronautics Institute of Technology,10
Brazil,"BYD, Campinas, Sao Paulo, Brazil",0
Brazil,Brazilian Power Electronics and Renewable Energy Institute,8
Brazil,"CEFET, MG, Leopoldina 36700, 00, Brazil",136
Brazil,CEITEC S.A. Semiconductors,0
Brazil,"CEITEC Semicond., Porto Alegre, Brazil",3
Brazil,CEITEC Semiconductors,3
Brazil,"CEPEL, Rio of Janeiro, Brazil",281
Brazil,"CEPEL, Rio of Janeiro, Rio of Janeiro, Brazil",23
Brazil,"COPPE, UFRJ, Rio of Janeiro 21941, 972, Brazil",136
Brazil,CTA Aerospace Technical Center IEAv,13
Brazil,CTI Center for Information Technology Renato Archer,13
Brazil,Campinas State University,34
Brazil,Catholic University of Pelotas,24
Brazil,Center in studies in Telecommunications of PUC,6
Brazil,"Centro Federal of Educacao Tecnologica of Minas Gerais ,  CEFET/MG",0
Brazil,"Centro Federal of Educacao Tecnologica of Minas Gerais, Belo Horizonte, MG, Brazil",7
Brazil,"Centro Federal of Educacao Tecnologica of Minas Gerais, Leopoldina, Minas Gerais, Brazil",14
Brazil,"Centro Federal of Educacao Tecnologica, Belo Horizonte, Brazil",2
Brazil,"Centro Universitario da FEI, Sao Bernardo do Campo, Brazil",110
Brazil,"Centro of Componentes Semicondutores e Nanotecnologias, UNICAMP, Campinas, Brazil",3
Brazil,"Centro of Pesquisas of Energia Eletrica, Rio of Janeiro, Brazil",21
Brazil,"Centro of Tecnologia da Informacao Renato Archer, Sao Paulo, Brazil",6
Brazil,"Chipus Microelectronics, Florianopolis, Brazil",2
Brazil,"Companhia Energetica of Minas Gerais, Belo Horizonte, Brazil",0
Brazil,"DSIF, UNICAMP FEEC, Sao Paulo, Brazil",3
Brazil,"Departamento of Engenharia Eletrica, Centro Universitario da FEI, Brazil",3
Brazil,"Departamento of Fisica Unesp, Bauru, Laboratorio of Filmes Semicondutores, Bauru, SP, Brazil",1
Brazil,"Department of Electrical Engineering, CEFET/PR, Curitiba, Brazil",4
Brazil,"Department of Electrical Engineering, Centro Universitario FEI, Sao Bernardo do Campo, Brazil",3
Brazil,"Department of Electrical Engineering, Centro Universitario da FEI, Sao Bernardo do Campo, Brazil",226
Brazil,"Department of Electrical Engineering, UFRGS, Porto Alegre, Brazil",9
Brazil,"Department of Electrical Maintenance, Petroleo Brasileiro S.A, Betim, MG, Brazil",1
Brazil,"Department of Power System Operation, Centrais Eletricas of Santa Catarina, SC, Florianopolis, Brazil",59
Brazil,"Development Foundation , Belo Horizonte, MG, Brazil",1
Brazil,"Drives Department, GE Power Conversion Brazil, Betim, Brazil",17
Brazil,Eldorado Research Institute,0
Brazil,"Electrical Engineering Department, Centro Universitario FEI, Sao Bernardo do Campo, Brazil",0
Brazil,"Electrical Engineering Department, Centro Universitario da FEI, Sao Paulo, Brazil",6
Brazil,"Electrical Engineering Department, UFCG, Campina Grande, Brazil",0
Brazil,Eletrotecnica Instituto Federal of Educacao,16
Brazil,Escola Politecnica da Universidade of Sao Paulo,13
Brazil,FEI University Center,44
Brazil,Faculdade of Engenharia Eletrica e of Computacao Universidade Estadual of Campinas,8
Brazil,Farroupilha Federal Institute,5
Brazil,Federal Center for Technological Education Celso Suckow da Fonseca,0
Brazil,Federal Center for Technological Education of Minas Gerais,229
Brazil,"Federal Center of Technological Education ""Celso Suckow da Fonseca""",12
Brazil,Federal Center of Technological Education of Minas Gerais,5
Brazil,Federal Institute of Alagoas,70
Brazil,Federal Institute of Alagoas Palmeira dos Indios,17
Brazil,Federal Institute of Ceara,23
Brazil,Federal Institute of Education,124
Brazil,Federal Institute of Education Science and Technology of Ceara,16
Brazil,Federal Institute of Education Science and Technology of Paraiba,2
Brazil,Federal Institute of Education Science and Technology of Paraiba - Joao Pessoa Campus,3
Brazil,Federal Institute of Mato Grosso do Sul,3
Brazil,Federal Institute of Para&#xED;ba,6
Brazil,Federal Institute of Paraiba,199
Brazil,Federal Institute of Pernambuco,46
Brazil,Federal Institute of Rondonia--IFRO,3
Brazil,Federal Institute of Santa Catarina,73
